Director,PA,BB,AB,OUTS,H,1B,2B,3B,HR,BA,OBP,SLG,OPS,WAR,WAR/PA,Scaled WAR,Scaled WAR/PA,Average Composite Score,Bucket,Composite Score+,Standard Deviation,Coefficient of Variation,Adjusted StDev,Best 2 Film Run Score,Best 2 Film Run Titles,Best 3 Film Run Score,Best 3 Film Run Titles,Best 5 Film Run Score,Best 5 Film Run Titles,Best Top 2 Overall Score,Out Rate,BB Rate,1B Rate,2B Rate,3B Rate,HR Rate,XBH,XBH Rate,Eligible,Career_Value,Rate_Quality,Peak,Profile,Strength
Curtis Hanson,14,2,12,9,3,2,0,1,0,0.25,0.357,0.417,0.774,-65.3,-4.66,-6.58,-0.47,50.34,OUT,89.5,18.5,0.3674,17.8,78.4,L.A. Confidential → Wonder Boys,74.2,L.A. Confidential → Wonder Boys → 8 Mile,65.0,The Hand That Rocks the Cradle → The River Wild → L.A. Confidential → Wonder Boys → 8 Mile,90.9,0.6428571428571429,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.0,1,0.07142857142857142,True,-1.007056922188149,-0.6016416274194114,0.10565942256148136,-0.7219255751668499,-0.5704977429042972
Damien Chazelle,5,2,3,0,3,1,0,1,1,1.0,1.0,2.667,3.667,104.7,20.94,10.56,2.11,75.94,1B,142.4,16.3,0.2148,16.1,92.4,Whiplash → La La Land,86.5,Whiplash → La La Land → First Man,75.9,Guy and Madeline on a Park Bench → Whiplash → La La Land → First Man → Babylon,94.7,0.0,0.4,0.2,0.0,0.2,0.2,2,0.4,True,0.6391348916196686,1.2700264651374285,0.8562496355046555,2.3729338783492553,1.1978962683162728
Daniel Espinosa,6,1,5,5,0,0,0,0,0,0.0,0.167,0.0,0.167,-81.1,-13.52,-8.18,-1.36,41.48,OUT,77.9,14.3,0.3453,15.0,54.2,Easy Money → Safe House,48.1,Easy Money → Safe House → Child 44,45.7,The Babylon Syndrome → Easy Money → Safe House → Child 44 → Life,61.5,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0,0.0,True,-1.0905500463723365,-1.249414256327755,-1.6026524849821775,-1.4608618651449259,-1.332354072268169
Daniel Kwan & Daniel Scheinert,2,0,2,0,2,1,1,0,0,1.0,1.0,1.5,2.5,39.8,19.9,4.01,2.01,74.9,1B,140.4,13.7,0.18309999999999998,15.2,74.9,Swiss Army Man → Everything Everywhere All at Once,,,,,84.6,0.0,0.0,0.5,0.5,0.0,0.0,1,0.5,True,0.2860693483337063,1.1939899488773067,0.18009944802515204,1.417070976259656,0.7127573489776577
Danny Boyle,16,2,14,6,8,6,1,1,0,0.571,0.625,0.786,1.411,127.4,7.96,12.85,0.8,62.96,BB,115.6,14.4,0.2284,14.7,80.0,Slumdog Millionaire → 127 Hours,76.3,Sunshine → Slumdog Millionaire → 127 Hours,71.4,28 Days Later → Millions → Sunshine → Slumdog Millionaire → 127 Hours,89.9,0.375,0.125,0.375,0.0625,0.0625,0.0,2,0.125,True,0.73399623864642,0.3210322525832183,0.36446088232292956,0.11024188003155175,0.41362053132677334
Dario Argento,21,3,18,15,3,3,0,0,0,0.167,0.286,0.167,0.452,-271.4,-12.92,-27.36,-1.3,42.08,OUT,71.0,21.4,0.5091,20.3,76.0,Deep Red → Suspiria,68.4,Deep Red → Suspiria → Inferno,65.6,Deep Red → Suspiria → Inferno → Tenebrae → Phenomena,77.8,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0,0.0,True,-1.7616822152374683,-1.205547035408454,-0.18748296802480435,-1.0659315485399539,-1.089948475137546
Darren Aronofsky,9,3,6,1,5,2,3,0,0,0.833,0.889,1.333,2.222,136.4,15.16,13.75,1.53,70.16,1B,130.5,15.2,0.21660000000000001,15.4,87.1,The Wrestler → Black Swan,78.5,The Fountain → The Wrestler → Black Swan,79.1,Pi → Requiem for a Dream → The Fountain → The Wrestler → Black Swan,87.8,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,0.0,3,0.3333333333333333,True,0.7689341573259479,0.8474389036148294,0.6564115273352458,1.0278741989131475,0.8122176947179326
David Ayer,10,0,10,8,2,2,0,0,0,0.2,0.2,0.2,0.4,-103.1,-10.31,-10.4,-1.04,44.69,OUT,84.3,18.9,0.4236,17.9,75.1,End of Watch → Fury,65.9,Street Kings → End of Watch → Fury,55.4,Harsh Times → Street Kings → End of Watch → Fury → Sabotage,76.9,0.8,0.0,0.2,0.0,0.0,0.0,0,0.0,True,-1.1938362893040089,-1.014724624409495,-0.6041524885371028,-1.0766116926893141,-0.978192503565715
David Cronenberg,23,5,18,10,8,6,2,0,0,0.444,0.565,0.556,1.121,70.5,3.07,7.11,0.31,58.07,BB,101.5,14.4,0.2487,14.7,79.8,The Fly → Dead Ringers,76.8,Videodrome → The Fly → Dead Ringers,73.0,The Dead Zone → Videodrome → The Fly → Dead Ringers → Naked Lunch,83.2,0.43478260869565216,0.21739130434782608,0.2608695652173913,0.08695652173913043,0.0,0.0,2,0.08695652173913043,True,0.47403998169546285,-0.036485597909084296,0.3554269616825664,-0.2501027771875451,0.17192678001450035
David Fincher,12,3,9,1,8,2,6,0,0,0.889,0.917,1.556,2.472,235.7,19.64,23.76,1.98,74.64,1B,137.1,14.6,0.196,15.0,84.7,The Social Network → The Girl with the Dragon Tattoo,85.4,The Social Network → The Girl with the Dragon Tattoo → Gone Girl,83.0,Zodiac → The Curious Case of Benjamin Button → The Social Network → The Girl with the Dragon Tattoo → Gone Girl,88.6,0.08333333333333333,0.25,0.16666666666666666,0.5,0.0,0.0,6,0.5,True,1.0991267306332897,1.1749808198122764,0.9895429963098741,1.286796920542685,1.1282283573290617
David Frankel,8,1,7,6,1,1,0,0,0,0.143,0.25,0.143,0.393,-45.6,-5.7,-4.6,-0.57,49.3,OUT,92.2,11.7,0.23809999999999998,13.3,63.1,The Devil Wears Prada → Marley & Me,56.2,The Devil Wears Prada → Marley & Me → The Big Year,54.2,The Devil Wears Prada → Marley & Me → The Big Year → Hope Springs → One Chance,67.9,0.75,0.125,0.125,0.0,0.0,0.0,0,0.0,True,-0.8880422378746897,-0.6776781436795329,-1.0207465356619727,-1.1374657204607292,-0.9185119852899292
David Lean,15,2,13,0,13,6,4,2,1,1.0,1.0,1.846,2.846,333.9,22.26,33.67,2.24,77.26,1B,122.6,11.1,0.1433,12.3,93.3,The Bridge on the River Kwai → Lawrence of Arabia,89.4,The Bridge on the River Kwai → Lawrence of Arabia → Doctor Zhivago,85.0,Hobson's Choice → Summertime → The Bridge on the River Kwai → Lawrence of Arabia → Doctor Zhivago,95.5,0.0,0.13333333333333333,0.4,0.26666666666666666,0.13333333333333333,0.06666666666666667,7,0.4666666666666667,True,1.3618945773565028,1.3665343511598906,1.2469500119028452,1.7004716310351498,1.4020337901796647
David Leitch,6,3,3,2,1,1,0,0,0,0.333,0.667,0.333,1.0,27.8,4.63,2.8,0.47,59.63,BB,112.1,8.9,0.14980000000000002,12.1,65.7,Atomic Blonde → Deadpool 2,60.6,Atomic Blonde → Deadpool 2 → Once Upon a Deadpool,59.9,Deadpool 2 → Once Upon a Deadpool → Fast & Furious Presents: Hobbs & Shaw → Bullet Train → The Fall Guy,73.1,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.0,0,0.0,True,0.1928771674419025,0.07756917648109814,-0.6495192397748956,-0.45655099733839166,-0.17643456505855692
David Lynch,10,0,10,1,9,5,2,2,0,0.9,0.9,1.5,2.4,200.8,20.08,20.25,2.02,75.08,1B,130.0,15.5,0.2065,15.6,89.3,The Straight Story → Mulholland Drive,84.6,Lost Highway → The Straight Story → Mulholland Drive,78.8,Twin Peaks: Fire Walk with Me → Lost Highway → The Straight Story → Mulholland Drive → Inland Empire,90.4,0.1,0.0,0.5,0.2,0.2,0.0,4,0.4,True,0.9931255428989421,1.207150115153097,0.8490571466803015,1.2384606611410862,1.0596816105562494
David O. Russell,10,2,8,6,2,1,1,0,0,0.25,0.4,0.375,0.775,-37.0,-3.7,-3.73,-0.37,51.3,OUT,94.4,21.8,0.4254,19.8,78.4,The Fighter → Silver Linings Playbook,72.7,The Fighter → Silver Linings Playbook → American Hustle,66.2,Three Kings → I Heart Huckabees → The Fighter → Silver Linings Playbook → American Hustle,80.4,0.6,0.2,0.1,0.1,0.0,0.0,1,0.1,True,-0.8276161442147778,-0.5314540739485298,-0.01630258244376279,-0.7211064981299264,-0.5294453069884918
David Yates,10,1,9,4,5,4,0,1,0,0.556,0.6,0.778,1.378,53.4,5.34,5.38,0.54,60.34,BB,113.7,19.8,0.3289,18.5,81.9,Harry Potter and the Deathly Hallows: Part 1 → Harry Potter and the Deathly Hallows: Part 2,80.2,Harry Potter and the Half Blood Prince → Harry Potter and the Deathly Hallows: Part 1 → Harry Potter and the Deathly Hallows: Part 2,77.2,The Girl in the Cafe → Harry Potter and the Order of the Phoenix → Harry Potter and the Half Blood Prince → Harry Potter and the Deathly Hallows: Part 1 → Harry Potter and the Deathly Hallows: Part 2,89.1,0.4,0.1,0.4,0.0,0.1,0.0,1,0.1,True,0.3758093065433399,0.12947872123560422,0.6568609241127512,0.06870694609914516,0.3230690925199199
